,ExpectedAnnualReturn
AAPL34.SA,0.0014103340030486497
ABEV3.SA,3.820692448614e-05
ALOS3.SA,-0.00015051088629403702
AMZO34.SA,0.0009936240365519202
ATTB34.SA,-0.00021421782325023944
AZUL4.SA,7.4610649572237085e-06
B3SA3.SA,0.0005145201310718901
BBAS3.SA,0.0006065338927394544
BBDC3.SA,-9.740933085180769e-05
BBDC4.SA,-3.1269350232576697e-06
BBSE3.SA,0.0003786905208417792
BEEF3.SA,0.00016347981870329763
BERK34.SA,0.0007560644067846695
BOAC34.SA,0.0004989153138722543
BOVA11.SA,0.00029514903077000837
BPAC11.SA,0.0013165109490478916
BRCR11.SA,-0.00043659337880141036
BRFS3.SA,-0.0003130728157305146
BRKM5.SA,0.0006284062342018161
CATP34.SA,0.001233170420705119
COCA34.SA,0.0004803571703696969
CPFE3.SA,0.0006611087823110943
CYRE3.SA,0.0005569162653635749
DISB34.SA,-4.26026892415669e-05
DXCO3.SA,0.0001349143126032961
EGIE3.SA,0.00022753823457798418
ELET3.SA,0.0007125136215460602
ENGI11.SA,0.0004108896799799334
EQTL3.SA,0.0006604101262916792
EZTC3.SA,-0.0003699535318889546
FLRY3.SA,-6.094108939842865e-05
GOAU4.SA,0.0009790999704495395
GGBR4.SA,0.0009182887494972535
GOGL34.SA,0.0011395595444272995
GSGI34.SA,0.0009896043143957224
HCTR11.SA,-0.000808741078508331
HGLG11.SA,-1.7602112605259417e-06
HGRE11.SA,-0.00017227388122331442
HSML11.SA,1.5272041187732023e-05
HUSC11.SA,0.00018295759426970533
HYPE3.SA,0.0004016780707601605
IRBR3.SA,-0.0019446540941857504
ITLC34.SA,0.0004233811412655589
ITSA4.SA,0.00012161344391089807
ITUB4.SA,0.0002183305440315276
JBSS3.SA,0.0005087625413938232
JHSF3.SA,0.000450693208776372
JNJB34.SA,0.0004885031412506226
JPMC34.SA,0.0007148014862308783
KLBN11.SA,0.0005722398278209575
KNCR11.SA,8.329046269753778e-05
KNIP11.SA,2.186549672526496e-05
KNRI11.SA,1.4006028789895995e-05
KNHY11.SA,0.00013965613817266156
LREN3.SA,-0.0005532220953748814
MCCI11.SA,0.0001540144346873442
M1TA34.SA,0.0011383358267619038
MCDC34.SA,0.0008104740029887392
MELI34.SA,0.001830846129744428
MSCD34.SA,0.0007879748801978864
MSFT34.SA,0.001328954735368623
MGLU3.SA,-0.0007150534270101034
MULT3.SA,0.00035225040790485814
MXRF11.SA,-2.380157358102262e-05
NEOE3.SA,0.00024373122440502835
NFLX34.SA,0.001060094674020777
NIKE34.SA,0.0005927888605820065
NVDC34.SA,0.002910828199606578
NVHO11.SA,0.0004545749621229472
ORCL34.SA,0.0011565655477114329
PEPB34.SA,0.0006511390983413735
PETR4.SA,0.0014186513261578108
PFIZ34.SA,0.0002278360959449925
PRIO3.SA,0.0028224046355599668
PYPL34.SA,0.00029619521246314963
RADL3.SA,0.0005350648120945694
RAIL3.SA,0.00019176498099603446
RBRY11.SA,0.00019110730099524816
SANB11.SA,0.00013309130949640128
SBUB34.SA,0.0005418934932159891
SLCE3.SA,0.001006109930435835
STBP3.SA,0.0008455763456177008
SUZB3.SA,0.0006893737380179657
TAEE11.SA,0.0007098644347021118
TGAR11.SA,0.00039030125201590507
TIMS3.SA,0.0005124437273875794
TOTS3.SA,0.0008329547350001398
TSLA34.SA,0.0033215956924484316
UGPA3.SA,0.0018328960317892304
USIM5.SA,0.0007001711649410898
VALE3.SA,0.0010256082312497695
VBBR3.SA,0.0002932662756381869
VILG11.SA,-0.00015959730073291395
VISA34.SA,0.0007431327925704498
VISC11.SA,0.00013056504608302872
VIVT3.SA,0.0006525103261060148
VGIR11.SA,0.0002331342047734233
WEGE3.SA,0.0011295283241615146
ZAMP3.SA,-0.0003512991541548149
