,AAPL34.SA,ABEV3.SA,ALOS3.SA,AMZO34.SA,ATTB34.SA,AZUL4.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BERK34.SA,BOAC34.SA,BOVA11.SA,BPAC11.SA,BRCR11.SA,BRFS3.SA,BRKM5.SA,CATP34.SA,COCA34.SA,CPFE3.SA,CYRE3.SA,DISB34.SA,DXCO3.SA,EGIE3.SA,ELET3.SA,ENGI11.SA,EQTL3.SA,EZTC3.SA,FLRY3.SA,GOAU4.SA,GGBR4.SA,GOGL34.SA,GSGI34.SA,HCTR11.SA,HGLG11.SA,HGRE11.SA,HSML11.SA,HUSC11.SA,HYPE3.SA,IRBR3.SA,ITLC34.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,JHSF3.SA,JNJB34.SA,JPMC34.SA,KLBN11.SA,KNCR11.SA,KNIP11.SA,KNRI11.SA,KNHY11.SA,LREN3.SA,MCCI11.SA,M1TA34.SA,MCDC34.SA,MELI34.SA,MSCD34.SA,MSFT34.SA,MGLU3.SA,MULT3.SA,MXRF11.SA,NEOE3.SA,NFLX34.SA,NIKE34.SA,NVDC34.SA,NVHO11.SA,ORCL34.SA,PEPB34.SA,PETR4.SA,PFIZ34.SA,PRIO3.SA,PYPL34.SA,RADL3.SA,RAIL3.SA,RBRY11.SA,SANB11.SA,SBUB34.SA,SLCE3.SA,STBP3.SA,SUZB3.SA,TAEE11.SA,TGAR11.SA,TIMS3.SA,TOTS3.SA,TSLA34.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VBBR3.SA,VILG11.SA,VISA34.SA,VISC11.SA,VIVT3.SA,VGIR11.SA,WEGE3.SA,ZAMP3.SA
AAPL34.SA,0.000498402780374697,4.275638105363184e-05,5.179745478000388e-05,0.00033070278510024094,0.0001517907602553707,8.064008906299484e-05,5.70482051501078e-05,5.537643259134526e-05,7.421019068997365e-05,7.174003738650008e-05,3.0991127626809324e-05,9.405130409174192e-05,0.0001760949289682601,0.0001970870440831505,8.26056162136397e-05,0.0001329016077875299,1.6454143166216934e-05,9.630847455722753e-05,0.00016008558822140957,5.46641675499475e-05,0.0001237298134979759,1.6361410127868175e-05,3.012197322843631e-05,0.00020614735914057904,7.76162631874355e-05,4.607154445425213e-05,5.6982497783865354e-05,4.060041577843978e-05,3.9618879941015654e-05,5.430553429215232e-05,3.4010523918635304e-05,0.00013246699035286498,0.0001236015917898216,0.00030947872968141703,0.00010890191389046209,2.4658769975143283e-05,2.0586981391110768e-05,2.8214521427556614e-05,1.367898627469431e-05,-1.0475003805103877e-05,8.590776397985009e-05,7.76605606851798e-05,0.00028447887854144235,4.73957458767622e-05,4.949058029718983e-05,0.00014057754600878074,5.090597451769347e-07,0.00017107317299378436,0.00019976937562656352,0.00011185709090381133,-1.1022189319467583e-05,-9.593503549065549e-06,1.71746869648497e-05,-1.555185844517618e-05,3.772750016206399e-05,7.863410008133006e-06,0.000344656039383123,0.00015112203402944583,0.00037460943031720605,0.0002314622277165737,0.0003580874505164427,0.00014896496242443127,2.1192227803116787e-05,2.139206824153091e-05,4.652876388123465e-05,0.0002951538679567695,0.00019632321729170417,0.0004156857188153908,1.9865948387929818e-05,0.00014968199188660587,0.00011783967712048827,9.55850591528247e-05,0.00016296081261205813,0.00012803505454835696,0.00028533968199488636,3.109037761510829e-05,8.452916129371791e-05,5.4750289726833495e-06,4.830658986329484e-05,0.0001784700184729779,4.4662601704077887e-05,1.6887293712271097e-05,0.00014434886072846347,1.750579530751481e-05,2.281255656937723e-05,5.954005160658604e-05,0.00010760448282437401,0.0004447416527403551,0.00010618070537094827,9.821346979498662e-05,0.00013820654084118898,4.2683829212808895e-05,2.5416948306873933e-06,0.0002343660024397609,2.8446295033802356e-05,5.831372030438103e-05,-1.4268572425932485e-06,8.06514727744458e-05,7.926522652607491e-07
ABEV3.SA,4.275638105363184e-05,0.00040536990966068504,0.0002808037535569524,-8.838111489472645e-06,2.187192458047897e-05,0.00047333883505693686,0.0002449901291472637,0.00025371829280611627,0.0002577877864941886,0.0002629964950519101,0.00015243766815174064,0.00015521466946112625,-1.5392524041209152e-06,9.760772016433537e-05,0.00021913386172534488,0.0003004976748158719,4.699933507359419e-05,0.0002719161034527877,0.00027824951673952503,1.4228324545606127e-07,1.4460447667018844e-05,0.00018035987276034124,0.00033805018862542084,3.872141453369168e-05,0.0002541010069540283,0.00013826217335769408,0.000274687987770234,0.00019020035942281886,0.00017141742744225977,0.0003156014813721953,0.0001927125153958044,0.00021285198794207937,0.00019744922255265736,2.0642021712269576e-05,5.400244382229825e-06,1.628876248984473e-05,5.7784559115039126e-05,5.153400125859028e-05,5.8086692880733677e-05,-2.6539351048705703e-06,0.0001998939170906768,0.00025260734016370316,1.7558418639350315e-05,0.00021944465277892207,0.00023147369805303389,0.00017124023747363843,0.0002683054728264354,-1.7369043947320927e-05,7.88752633240174e-05,9.110678096275398e-05,1.5067000938605455e-05,1.5179879869675879e-05,4.9193971426777995e-05,3.1107321974315975e-05,0.000286563557411034,2.6515220452732945e-05,2.2042700211754054e-05,7.70279042581573e-06,7.906190208810783e-05,2.3297314441243958e-05,4.008773130152718e-05,0.0002699031639261901,0.0002817890629922689,3.949770563212107e-05,0.00018367381484322317,7.070428539094674e-07,1.5674789497379343e-05,4.9952592591046483e-05,3.893016095872825e-05,-1.663177108334609e-05,-2.4176589075058064e-05,0.00025159572229803927,-1.6121163327811176e-05,0.00026026622167365273,1.8850945037881793e-05,0.00017731939597804463,0.00024252094757502198,2.2401671947738947e-05,0.00025272385479773937,2.878411776778585e-05,9.884014645464142e-05,0.0002427191257045056,6.986731059836062e-05,9.085234782148794e-05,3.99330404008849e-05,0.0001802327269144254,0.00021576558040645064,0.00010126373523995247,0.00035881613811227067,0.00021781786638941556,0.00012305544300264106,0.00026490231474771787,5.274934811394216e-05,1.9926987902275965e-06,6.42460770658643e-05,0.00014017938365490357,5.665556315582449e-05,0.00020475565751095187,0.00027736699053168036
ALOS3.SA,5.179745478000388e-05,0.0002808037535569524,0.0009005904828040806,-1.5343401122811807e-05,-9.404864200441479e-06,0.0009125493350842457,0.0005184253538774562,0.0004663023438551961,0.00043922392022930696,0.00045066616261027926,0.0002497529306587111,0.00024401174470269302,-5.877364101919252e-06,0.0001381859799817236,0.00038136331215284753,0.0006641810815231728,9.891956397712957e-05,0.00045532759654619287,0.00046866374536453135,-2.3350862249817317e-05,3.819983979097191e-06,0.00031455179319753244,0.0007771491053666945,0.00011321428445562856,0.0005328210286996773,0.00022575639087006258,0.0005037342794427156,0.00037863162787180266,0.0003277325800735261,0.0007493647601234593,0.0003632026808435143,0.00032922629792808754,0.00033155102171121944,3.959753577548212e-05,-9.590307696103609e-06,5.924093632109531e-05,0.00012042176357913596,0.00013668434882414221,9.221369445511381e-05,-2.087316184346531e-05,0.000386247465335924,0.0005464324506156108,6.959419282517493e-06,0.0003494014248262264,0.0003596094978297987,0.00028716065665335166,0.0006657139182989139,-5.861953028506104e-05,8.763669166805826e-05,0.00014147404061942966,2.5376698518546708e-05,2.6667099478577564e-05,0.00010049053685196219,3.9271943220946e-05,0.0006696721717089543,5.039135235327209e-05,5.98523229580865e-05,2.734835928077458e-05,0.00015097551994251168,8.495668110722202e-05,5.740017238913608e-05,0.0006658990728388083,0.0007295616379402144,6.22979452107867e-05,0.0003222687366262668,-5.632694399380601e-05,2.015222394326565e-05,8.608625882440557e-05,8.185140024044133e-05,-4.584650367335593e-05,-6.485460794499381e-05,0.0004224068790228755,-7.256199731261328e-05,0.0005149189828752923,5.366158850925985e-05,0.0002660382912419261,0.00044857106148051077,-1.4548052475432735e-06,0.0003980413237056927,8.382061413274121e-05,0.00015558607818670915,0.0006141859089042999,5.7831992802212507e-05,0.00016548093201028722,6.658818959463206e-05,0.00031654191813400555,0.00044478167264532805,0.00017174236276767244,0.0005358947116733513,0.0003754053202241473,0.00020972687108039746,0.0005192263991890936,9.951325699427527e-05,5.22283523016917e-05,0.00013575052349554237,0.00023293195993906115,5.611525972909568e-05,0.00027676703259367925,0.0005799756009377016
AMZO34.SA,0.00033070278510024094,-8.838111489472645e-06,-1.5343401122811807e-05,0.000632616946162573,9.840552977894831e-05,-2.0140267349873302e-05,-1.1213855961615075e-05,-5.741491714434827e-05,-1.96331303128042e-05,-2.0514580800450306e-05,-2.097317962420452e-05,8.903182119713469e-05,0.00014159767610775648,0.0001303990384702047,1.1724117098470172e-05,2.266042749474776e-05,-1.1059871662990065e-05,5.1803223323658996e-05,5.4024228577895316e-05,5.200765926039126e-05,9.167763553654339e-05,-4.594629194734756e-05,-3.715516070363996e-05,0.00021932688854880966,-5.453477101097156e-07,-1.2043108541945319e-05,-4.5837149680398496e-05,-2.0896205763610975e-05,-8.229126906839658e-06,-3.3226464600421005e-05,-6.558539315162687e-07,2.925549167933131e-05,2.7657094081146763e-05,0.00033562312051237954,0.00012921197152577897,-5.09417116746906e-06,-2.8218940226588342e-06,9.870402633712392e-06,-1.9970154384891353e-05,1.0362127275712144e-05,1.243967905936469e-05,-2.483919256381056e-07,0.00027335350169784575,-1.681138860786215e-05,-1.7500324008443524e-05,6.676056758022603e-05,-2.5763559847092154e-05,0.00011472547038536038,0.00012337858598577577,7.356679529267744e-05,-1.0821353014230348e-05,-7.021201731803541e-06,-6.993390607583208e-06,-1.85947593343307e-05,-1.6531356701911123e-05,-2.1827581127429194e-05,0.00043060833387985694,0.00010503309453819957,0.0004432396829496166,0.00020956940067673582,0.00033804579027814125,5.882319098649877e-05,-4.768920999225083e-05,-4.17327504011261e-06,-8.744579226699819e-06,0.000385894121834845,0.00022565059841036803,0.00043286005748689613,2.5591486257434555e-05,0.0001489446043651401,0.00011723899955869394,-3.804422105838426e-05,0.00011752157416440278,6.6341106515189054e-06,0.0002973210554579081,1.3672329996048998e-05,2.3440723298151955e-05,-1.2925891490581511e-05,-2.4765333959189984e-05,0.0001854378683389432,6.487377843627295e-06,4.4380266836678355e-06,9.5328949406537e-05,-1.7774327337951297e-05,4.484643197117356e-06,1.4827271403250692e-05,8.355628931862818e-05,0.0004411003694607272,-8.568824840888603e-06,1.6073559709756685e-05,5.599437634933389e-05,-4.0848609889089385e-05,-2.2437913214886654e-05,0.00019863629386946712,-1.3509601578487004e-05,1.1661655240249788e-05,-2.1288327236501097e-05,4.4631715336832385e-05,-2.553146255257657e-05
ATTB34.SA,0.0001517907602553707,2.187192458047897e-05,-9.404864200441479e-06,9.840552977894831e-05,0.0003808663939338506,-6.03706779994213e-07,-2.5759336874974786e-05,3.140927593718608e-05,3.586857375401702e-05,3.8004348700826525e-05,1.0668736039742657e-05,1.5118198929448845e-05,0.00014503058858210866,0.00021584699022759071,2.136275973045537e-05,1.0654198953621691e-05,1.981787397177511e-05,5.742525445814255e-05,9.02492116768423e-05,9.009016071761817e-05,0.0001214761394081217,-4.894846837552457e-06,-3.7515092264569136e-05,0.0001565579188652388,3.1234312132510954e-06,1.0233086508546883e-06,1.1479066891555664e-05,-6.309966926314753e-06,-5.447688385322483e-06,-3.705224676552725e-05,-6.213622777920562e-06,7.049864027799481e-05,5.971696090807462e-05,0.0001107233988525292,0.00012031332116537102,1.335484945411734e-05,1.782822381538028e-05,1.9821940327624067e-05,2.2401092863737663e-05,-4.6552189214278535e-06,-6.0889328179648385e-06,-6.992883131031643e-06,0.00015561511940566464,2.7611403934257855e-05,3.051784233519952e-05,3.689041348041283e-05,-5.216709885556557e-05,0.00014972041584092387,0.00019207097791134196,2.5591240043468592e-05,6.021841923251688e-06,-4.5256482543035176e-06,1.694813449448591e-05,9.34721167566952e-06,-2.076601871896805e-05,2.0331430182364735e-05,0.00010090860139854604,0.00012088002013517327,7.117228438058894e-05,0.00014083695946782456,0.00011898878459479467,-3.815888648886136e-05,-2.8777571288537902e-05,2.523053894435423e-05,1.0441669153071788e-05,9.057535895109052e-05,0.00011077008948616129,8.472035646704442e-05,-2.5720309123615026e-05,8.160284275754808e-05,8.863223093365771e-05,2.706276560363647e-05,0.00014830981500758793,6.846510417991578e-05,0.00010149999360083003,-1.929415066551509e-05,-1.3748863969901018e-05,2.923270287629764e-05,3.7684723283265874e-05,0.00010146611862587869,2.2970515912467605e-05,-5.0657962277092115e-05,4.666621099995184e-05,6.500833122662467e-06,1.3880383214707323e-05,3.586528836232597e-05,-2.9854598495295643e-05,0.00010954489094210883,1.0139594461081877e-05,5.916492663813075e-05,7.88653753642859e-05,1.710606891853604e-06,1.376244391862216e-05,0.00014704300135841148,3.712822652168531e-05,1.8465972259044535e-05,3.2879313889947984e-05,-1.0078314127013546e-05,-1.2644319196351779e-05
AZUL4.SA,8.064008906299484e-05,0.00047333883505693686,0.0009125493350842457,-2.0140267349873302e-05,-6.03706779994213e-07,0.002606180349178212,0.0007660382382930595,0.0006941121958728481,0.0006602722425978456,0.0006836055426442621,0.00033646471694259066,0.0003775937954971661,1.5754860051883764e-05,0.00027776349323409646,0.000593590633427204,0.0009275393074692762,0.00018746264099107728,0.0007438806838333603,0.0007835700056283139,3.4808406382567086e-05,-3.8838516971409234e-05,0.0004323016023099722,0.0010877704864516182,0.00019892825337608229,0.0008643962123977782,0.0003186464380080295,0.0007647562220561338,0.0005228787228769846,0.00044015272732994234,0.0010381995901472278,0.0005550390881625982,0.0006045425004219455,0.0005739295131119653,6.893580188353024e-05,9.826398129625284e-05,8.417528427345181e-05,0.0002186068743905629,0.0001963867016231975,0.00021594385259373117,5.748881049995183e-05,0.0004861514604813152,0.0008776255516938839,6.616215438447894e-05,0.0005160610293462056,0.0005518526828206017,0.00043302858634136507,0.0008828441294106803,-0.00015704242524534285,0.00019551779230955301,0.00023073095592199532,8.250098657950898e-05,6.30412828405383e-05,0.0001587820623173725,0.00010670760485537219,0.0009171927274902995,0.00012943720739818688,7.939654953961745e-05,3.5990422649588544e-05,0.0004024113177342596,0.00012800942809237,4.7268462075163304e-05,0.0010658846347616096,0.0008032023930955925,0.00012200584165336364,0.0004443748581564878,-2.8433548632751968e-05,6.0275183017313376e-05,0.00018006112290045083,0.00010705304326291339,-0.00011853990743269249,-0.00019217803439712018,0.0006938126124944407,-0.00012050409885598618,0.0009303246829228971,3.5343970069704825e-05,0.00038370424311810856,0.000670697432778849,7.898193933827925e-05,0.0006426280303972722,0.00013663724760400013,0.00020096397751263306,0.0009195513432390207,0.00015524149693993018,0.00022730922480435593,0.0001254799613782161,0.00038467198840327085,0.000690407564729038,0.0003266418459606372,0.0008121709293349227,0.0007171399309660688,0.00037823429066496125,0.0007544064924171067,0.0002201046774426138,7.073584764435925e-05,0.00026553368404952143,0.00027375520308416015,0.00017254074810648884,0.0004988650222465472,0.0009647863220611264
B3SA3.SA,5.70482051501078e-05,0.0002449901291472637,0.0005184253538774562,-1.1213855961615075e-05,-2.5759336874974786e-05,0.0007660382382930595,0.0007740671687395714,0.0004002498826470626,0.0003866682171967337,0.00038418766166213575,0.0002376548389080142,0.00021885258045684,-2.1623293825747922e-05,8.043418259366033e-05,0.00036845930062458986,0.0006177042496979845,9.021562013981018e-05,0.0003817373987012888,0.0004161233701004051,-4.956912268674166e-05,-3.393970020275232e-05,0.00029098029113355404,0.0006447818101172882,2.5428232826533407e-05,0.0005129995366105447,0.00020915046276907083,0.0004753615048175167,0.00030256208989732996,0.000309073561624087,0.0006286546746308342,0.000333777447615113,0.0003394568325444962,0.00032550319671903564,3.445516657071025e-05,-1.5523825508219904e-05,4.7013908558679163e-05,7.90167055476945e-05,8.038062024763485e-05,8.508696597267012e-05,2.5845125212611673e-06,0.000340301196802407,0.0004256147202371257,1.253268450176932e-05,0.0003221128878333683,0.0003331688204966303,0.0002477452715550494,0.0005146898198650738,-6.23796402223443e-05,4.086426163040768e-05,0.00011241487100920228,2.9620635298056015e-05,9.397193624182143e-06,6.983519149676079e-05,3.200237671991415e-05,0.0005130714802853895,6.006852311457169e-05,1.464676292112949e-05,1.3733318265629854e-06,0.00024567742232392494,4.793717547151467e-05,5.5180657606772784e-05,0.0006761110801798408,0.0004649078440144707,5.594558947851773e-05,0.00024809561711554404,-2.2618618165594416e-05,-1.7092668657907552e-05,0.00010789608756020643,4.758099264415112e-05,-3.3876620313457215e-05,-7.095374148539638e-05,0.00035832147721899873,-5.9996905829566046e-05,0.0004702337794497414,2.7104094896896056e-05,0.0002483274106050607,0.00037218173462944193,3.950898153621704e-05,0.0003541431061253327,3.789302770734081e-05,0.00016163415215029593,0.0004679194343482176,6.336370743028077e-05,0.00014546945594405387,6.13499723662195e-05,0.00023191756064027522,0.00045157242481345234,0.0001693305370461777,0.0005264124216922304,0.00038381652503452024,0.00024152241008854457,0.0004659310242420296,7.383235051054915e-05,7.916167721774815e-06,0.0001046698667300998,0.0001868618698315403,5.129068209750682e-05,0.00033005209563181947,0.00045634091991170894
BBAS3.SA,5.537643259134526e-05,0.00025371829280611627,0.0004663023438551961,-5.741491714434827e-05,3.140927593718608e-05,0.0006941121958728481,0.0004002498826470626,0.0006475304835730955,0.0004831260937479067,0.0004891068343179439,0.00025746374810520776,0.00019464526069965462,1.576844304208539e-05,0.00016688815131012054,0.00036108802821846323,0.0005225352259230679,8.995768248660329e-05,0.0003282039370600045,0.0004484074860907333,-9.539962452158159e-07,1.8567714528889385e-05,0.0002759633089723801,0.0005569864217882546,6.350431930008916e-05,0.0004033516388947741,0.0002045491844570248,0.00048220978851367194,0.0002857705992655358,0.0002566099615838761,0.000512802017636622,0.0002649436824666267,0.00035862478258499647,0.0003480506377202277,2.130844633316833e-05,2.3120058937663146e-05,6.335893184100842e-05,0.00010245817283159558,0.00010882071772807401,9.506392375090301e-05,1.308661452743185e-05,0.00026805862442493564,0.0004519828160270136,1.8683290514639594e-05,0.00038583501299318564,0.0004230365630734786,0.00023358402078478723,0.0004243051672753495,-3.633211270731477e-05,0.0001366494298989419,0.00010108748280977129,4.1533554211990486e-05,2.5625026439421147e-05,8.894699260474163e-05,4.087306112019687e-05,0.00043785634711257445,7.586024187316255e-05,2.188712511416272e-06,2.0917788395331814e-05,7.629657553725135e-05,5.3451640833268456e-05,2.160839636399606e-05,0.0004298010868050331,0.00043315881318000375,8.421270128814434e-05,0.00026313698062725255,-6.441018892495032e-05,-2.2262422946542916e-05,4.531468948078911e-05,6.257940216998844e-05,-5.5024871621513965e-05,-6.989381951927662e-05,0.0004951459277746051,-2.186399517825776e-05,0.0004881652923920843,-1.236274336089228e-05,0.00016269806086161208,0.0003158702387856752,4.236721680214461e-05,0.00044773811315367614,6.092499422881821e-05,0.00013664372457119692,0.0003809540824842825,4.748201635864877e-05,0.0001390079351168891,6.783144095344682e-05,0.00023735394437403466,0.00031785206653461054,8.845255140828967e-05,0.00047806936439619293,0.0004045850890660538,0.0002663714154747461,0.0004380287619332439,8.65938007243446e-05,4.2385433114147135e-05,0.00014501149485057858,0.0001670934446014535,8.307013970939659e-05,0.00021205770757460693,0.00040306657284737305
BBDC3.SA,7.421019068997365e-05,0.0002577877864941886,0.00043922392022930696,-1.96331303128042e-05,3.586857375401702e-05,0.0006602722425978456,0.0003866682171967337,0.0004831260937479067,0.0005612514765962089,0.0005692431404702581,0.00022512213121877068,0.0001604368270746267,3.388312645405744e-05,0.00017368504473601044,0.0003404023718404812,0.0004967284412537163,7.846455155427309e-05,0.00032510740849013597,0.00043642123586900856,2.718719768008736e-05,2.442070446092665e-05,0.00024521432661141755,0.0005087913304708691,9.241125495918611e-05,0.0003672396054979828,0.00019252703333575723,0.0004257943259929851,0.00025877818919725685,0.0002473834891939013,0.0004640522686357225,0.00024387819430406033,0.0003496195931153882,0.0003401437057433925,3.4850862816123995e-05,3.742710193561131e-05,4.870879330946493e-05,7.285993147069165e-05,7.942106833209801e-05,6.725554237966774e-05,-1.4414468989562601e-06,0.00026738910941263594,0.00042192396735030527,4.273311389807242e-05,0.0003943795679033695,0.00044189486673654416,0.00020904524139652786,0.0003792670304346631,-1.6857037761663613e-05,0.00012893603128855076,9.338710127473639e-05,2.186120807024153e-05,8.05304050426796e-06,6.728145049100959e-05,2.6133427914172075e-05,0.0004193034679763884,5.5639925260765324e-05,-1.5180248351463278e-05,1.6579332882928265e-05,7.656590864351341e-05,7.186666047693982e-05,4.081141964564842e-05,0.0003900858812573004,0.0004064962724515394,7.132918700074346e-05,0.00024589434622296103,-4.630461158792826e-05,-2.1989820628016493e-06,4.2380423991133724e-05,6.725723322713336e-05,-4.4978948636638435e-05,-4.622089338821693e-05,0.0004142123748752706,-9.75379159176096e-06,0.0004330280807991472,8.576657461917864e-06,0.00016228995096895436,0.00030353252317743786,3.573295581334536e-05,0.00046504695808767153,5.8294300629754504e-05,0.00011153851162346506,0.00033019878495275484,4.928663405954717e-05,0.00012272642628853513,5.3936954642213126e-05,0.00021164525113483433,0.00027327013136553444,0.00010554116374421,0.00044716181701633616,0.0003821023846110382,0.00026385726883104395,0.0003915110603462736,5.766460358386806e-05,5.0889848016827305e-05,0.00010352347720402859,0.00016525412822763257,6.339270825432367e-05,0.000201314718326391,0.00036341521051059644
BBDC4.SA,7.174003738650008e-05,0.0002629964950519101,0.00045066616261027926,-2.0514580800450306e-05,3.8004348700826525e-05,0.0006836055426442621,0.00038418766166213575,0.0004891068343179439,0.0005692431404702581,0.000616631788293594,0.00021814175400155643,0.0001650239597389798,3.636076341995786e-05,0.00018291477369217023,0.0003424167223139838,0.0004978665200203959,7.781576553835282e-05,0.00034273099615398343,0.00043934175698353,2.7536209823886204e-05,3.198363188832572e-05,0.000244591302220594,0.0005186688660277818,0.00010373759151601076,0.0003677035812752344,0.0001859438231233372,0.0004204566729551085,0.0002668035708677394,0.00024599022636251984,0.0004694699975309297,0.00024521526294627057,0.00034404784640091165,0.00033483778177597213,3.660153304965629e-05,4.319641559699972e-05,4.291459969165123e-05,8.369255948048115e-05,8.542575433357902e-05,6.207554491041928e-05,-1.100143593537468e-05,0.00026735068726792824,0.000420052839374599,3.758049311919837e-05,0.000405221223388354,0.00046161941302434365,0.00021916767336330306,0.000387804312317157,-2.02692976970492e-05,0.0001403865475234693,9.899755875318729e-05,2.3430867167815857e-05,9.209055789726486e-06,6.887827780140249e-05,3.020366476088453e-05,0.00042974949162831867,4.907958195102269e-05,-1.6813490188083717e-05,2.1924968449689307e-05,7.112422729579233e-05,7.319540408788364e-05,4.2184792580336724e-05,0.00039439146104799136,0.00041135066934549656,6.872767311457263e-05,0.0002466035371550768,-5.3988924907176874e-05,-2.290721360738948e-06,4.2237115585459636e-05,6.568917364592353e-05,-4.358702583359936e-05,-4.855184139239529e-05,0.0004211351033910408,-1.147580275136475e-05,0.000428748448633482,6.7612973552577206e-06,0.0001587759158408197,0.00031171144981514005,3.229090858089777e-05,0.00048050920803588675,5.984770033351744e-05,0.00010836426110656502,0.000339602479698814,5.989230402129796e-05,0.00012019763721614731,5.4523128008536117e-05,0.00021017440854014462,0.000264410671205696,0.00011377974251775561,0.0004495205033667463,0.00038183136344990305,0.00026299776517082324,0.00038796803736129096,6.0875435739914625e-05,5.2557883968266544e-05,0.00010922905647346938,0.0001689898388274702,6.617262564111556e-05,0.00018345305330211365,0.00036942475541154834
