Ticker,AAPL34.SA,ABEV3.SA,AMZO34.SA,ATTB34.SA,B1CS34.SA,BBAS3.SA,BBDC4.SA,BBSE3.SA,BCFF11.SA,BERK34.SA,BOAC34.SA,BOVA11.SA,BPAC11.SA,BRCR11.SA,COCA34.SA,CPFE3.SA,CPTS11.SA,DISB34.SA,EGIE3.SA,ELET3.SA,GOGL34.SA,GSGI34.SA,HCTR11.SA,HGLG11.SA,HGRE11.SA,HSML11.SA,HUSC11.SA,ITLC34.SA,ITSA4.SA,ITUB4.SA,JHSF3.SA,JNJB34.SA,JPMC34.SA,KLBN11.SA,KNCR11.SA,LREN3.SA,M1TA34.SA,MCDC34.SA,MELI34.SA,MGLU3.SA,MSCD34.SA,MSFT34.SA,NEOE3.SA,NFLX34.SA,NIKE34.SA,NVDC34.SA,NVHO11.SA,ORCL34.SA,PEPB34.SA,PETR4.SA,PFIZ34.SA,PRIO3.SA,PYPL34.SA,SANB11.SA,SBUB34.SA,STBP3.SA,SUZB3.SA,TOTS3.SA,TSLA34.SA,VALE3.SA,VILG11.SA,VISA34.SA,VISC11.SA,WEGE3.SA,ZAMP3.SA
AAPL34.SA,0.00035716335091365536,-2.5533302337643956e-06,0.00028829734432674623,8.902469698048368e-05,6.729959498928944e-05,-3.652227919847893e-05,-9.209216641717187e-06,-1.8690298268968774e-05,9.745084885888971e-07,0.00012258991624902025,0.00010571829922126752,-6.343819290379059e-06,-1.3561097639615735e-05,-2.978213412115143e-06,0.00010010373048519913,-5.043713092544346e-05,-5.6478596613052485e-06,0.000149362902872874,-1.5587378741999007e-05,-5.932504444826546e-05,0.00025542920899641647,0.00011115962890570822,1.1795243725810765e-05,4.300863192386901e-06,1.128225020352512e-05,1.2867294663475265e-06,2.0803721727615152e-05,0.00021186080049107135,-2.219164919089302e-05,-1.2494473829301685e-05,-5.50754136522795e-05,9.718326846695705e-05,0.00012148033279807889,4.150091158043228e-05,-5.245087176723012e-06,-4.637437443567918e-05,0.0002877213751998588,0.00011959084991702105,0.0002718384170859514,-5.588639214585628e-06,0.0001806647334082765,0.00026023703193876594,-2.549762645584831e-05,0.00026047405875203965,0.00020186546293329453,0.0003461129714211931,-1.4134867121486353e-05,0.00015987334743349004,0.00010659424572373207,-3.5141150534562945e-05,9.341614005143455e-05,-1.6097212075824812e-05,0.00024929715352676416,-2.141979151950727e-05,0.0001592873653591298,-5.490352583966469e-05,7.537137654414762e-05,3.253233459385572e-05,0.0003324810308386715,4.856249113743345e-07,-7.271005924581637e-06,0.00017842920954551388,-4.597222344558072e-07,2.173981617686218e-05,-4.2541553569431896e-05
ABEV3.SA,-2.5533302337643956e-06,0.0002840268317662729,-1.080743515152597e-06,-2.1586445673004228e-05,4.900978967708752e-05,0.00013310833824843558,0.00015338234267921574,8.82369634317154e-05,1.47868804921514e-05,-1.638366712568668e-05,1.781031609848951e-05,0.00011555352470273984,0.0001546560525608737,2.176550170193023e-05,-1.5302770923084366e-06,8.450215922926839e-05,1.5445436074045494e-05,6.0971363439191864e-06,6.99311560723315e-05,0.00014090148961126163,-9.143126021975987e-06,1.7173978705348508e-05,-1.3757961648701722e-05,6.689184181171384e-06,-4.74790913539521e-06,7.547250656679941e-06,1.6170407414296997e-05,-4.268232033034728e-06,0.00013437571985657794,0.0001461120497370763,0.0001598501078673385,-1.5000780268047824e-05,1.3506549362808185e-05,2.3125455224083045e-05,6.096011709508319e-07,0.00017269670948758567,1.0479831531870847e-05,-1.4835648849711581e-05,5.472483700076812e-05,0.0001617651846338702,-1.5325694844992615e-06,-5.719745285922981e-06,8.462082370789199e-05,-2.9985942654995766e-07,-1.1781108975443223e-05,2.1703250820953646e-05,9.896269382919276e-06,-6.651505183610639e-06,-2.675707783930606e-06,0.00012286348550677264,-2.8256633828622442e-05,5.4087542783033125e-05,2.1188860198259808e-05,0.00015170821403665634,1.3888998806475936e-05,0.00012030890617263153,1.538823785166818e-05,0.00012569276485952576,4.559629979602676e-05,3.1329050694718115e-05,6.510079640851291e-06,-2.0995734868537283e-05,7.160623931780952e-06,0.00010312836269636611,0.00013577046563432275
AMZO34.SA,0.00028829734432674623,-1.080743515152597e-06,0.0006168666548393253,8.715673197089286e-05,6.74389042189084e-05,-4.638505917752469e-05,-1.842711212267765e-05,-2.3234893451085706e-05,1.8745637021168682e-06,0.00012366442353844948,0.00012809871236875203,6.766898445797074e-06,1.385457069161716e-05,-3.180458385813927e-06,8.43113033566868e-05,-5.200270021604995e-05,-4.838435383053034e-06,0.00020208636272980496,-1.8042034560540947e-05,-5.6271120778024426e-05,0.00032966023292963935,0.00012521508227321867,4.697416432275056e-06,-4.962051052431404e-07,1.958478949938978e-05,-7.793383175118534e-07,3.3533089161543856e-05,0.000253662261975415,-2.3658592615873423e-05,-1.7388154505607764e-05,-1.7478301454434766e-05,7.204299481629524e-05,0.00012478536868105387,3.693267407764753e-05,2.8771173852210275e-06,-1.3281873166209755e-05,0.0004272925542639794,9.969676828596526e-05,0.00043521312022502204,1.1886932671205591e-05,0.00020379996424249526,0.00030751250139220593,-2.6756526823096374e-05,0.00035524908267693217,0.00025199223946681203,0.0004215171689704658,9.430819268932463e-06,0.00015215309835435445,0.00010203614481389614,-6.573106439608678e-05,8.490524198027019e-05,-9.163810147632082e-06,0.0002911823616460036,-2.4271532444718115e-05,0.0001977692067245216,-6.1426304589690536e-06,6.374365070630549e-05,7.820678535918729e-05,0.00038074632217234165,2.903737670666741e-05,-5.620157276893064e-06,0.00018114888115499606,-3.4986655728948028e-06,3.96107449064662e-05,-1.0058134972892381e-05
ATTB34.SA,8.902469698048368e-05,-2.1586445673004228e-05,8.715673197089286e-05,0.0003456341509438112,7.48800267729564e-05,-3.574145519044444e-05,-2.301699976096959e-05,-2.9452076607677787e-05,-5.081181290001411e-06,0.00010640297939908786,0.00014011189353303681,-3.199579405902901e-05,-8.974707681276678e-05,-7.91400778816982e-06,0.00010634748225779025,-5.8162126677186925e-05,-4.31468451456798e-06,0.0001233016270216203,-3.631190186648274e-05,-5.6887303886488394e-05,8.332395814641602e-05,0.00012030887017446184,-9.286389531489913e-06,-1.883953100038791e-06,-6.46160587470629e-06,-4.6487582158874635e-06,3.302665129087986e-06,0.00012429160687708098,-2.4864302954625905e-05,-1.6884755177265264e-05,-7.800587675702597e-05,0.00010519363165115863,0.00013413328502439635,7.60206272334743e-06,8.352441972467102e-06,-7.722647867329071e-05,8.555266051099125e-05,9.620999831267088e-05,2.7160509630552325e-05,-0.00010740959257464474,9.764708841477287e-05,8.100774316643974e-05,-4.4069045676714846e-05,9.356392844814841e-05,0.00010688699790173612,4.318856056087472e-05,-2.421830430899867e-05,9.10092562171019e-05,8.871499297692907e-05,-3.7456849453253636e-05,0.00011325192923924228,-2.790165491341838e-05,6.506464550443586e-05,-1.5519907003682597e-05,7.422743569303354e-05,-0.00010734355562885413,3.111380344104977e-05,-8.493514573468562e-05,5.9913806887854676e-05,1.3256492608917384e-05,-1.613634207300895e-05,0.00011255429030838744,1.5444642215063134e-06,-2.1756143304273558e-05,-7.907165344086856e-05
B1CS34.SA,6.729959498928944e-05,4.900978967708752e-05,6.74389042189084e-05,7.48800267729564e-05,0.0006354211285720709,4.42762996879395e-05,8.300001340536892e-05,1.598010245626688e-05,1.586128226861625e-05,0.00010612667687653167,0.0002162185727883507,4.1693308045384626e-05,5.582607493331223e-05,1.5961533173510765e-06,4.7550081871345787e-05,-2.1512374802531527e-05,-2.6482842198111172e-05,0.0001325691149044593,-1.4050286904788304e-05,3.070303487377951e-05,8.097744308889941e-05,0.00017695190914446921,-1.3114176151045148e-05,5.824177469884793e-06,5.596650766529126e-06,-1.4159231222482914e-05,-3.376648440148846e-05,9.684997064019957e-05,5.737127274205766e-05,7.101921072522174e-05,5.6805531689505216e-06,3.507881339316055e-05,0.00018572128186305673,4.868977382548607e-05,4.345544569008659e-06,5.554643980037293e-05,7.854255880022558e-05,5.426460324776534e-05,7.135331113635394e-05,4.425357315952096e-05,0.0001225943223253802,5.0709892588424266e-05,2.120843775098784e-05,8.872898361882281e-05,9.511848818032084e-05,0.0001227976478488354,-2.7785635419181623e-05,9.30900538762866e-05,3.5653554724435006e-05,4.386509434432974e-05,4.3754141933513934e-05,0.00011167534970375428,0.00011702395999027692,8.503602034101577e-05,0.00011484044424350658,-4.633623136852663e-06,5.8325185628062605e-05,1.8515751048051585e-05,0.00014091852494655025,6.489990569955954e-05,-1.366085611356472e-07,0.00010488265987417545,-4.325129191050083e-06,-1.0053504338591394e-05,-9.02373517677994e-06
BBAS3.SA,-3.652227919847893e-05,0.00013310833824843558,-4.638505917752469e-05,-3.574145519044444e-05,4.42762996879395e-05,0.00036615836757120324,0.00024188419040581114,0.0001162030879177531,3.808781663204781e-05,-3.573281699462844e-05,1.8717297621963638e-05,0.00016908661874705198,0.00020946955187532785,2.7897541198786355e-05,-3.970370900674974e-05,0.00012053773684108507,3.5590831793529626e-05,-1.33753405411224e-05,8.499194696085465e-05,0.0001988575881521413,-3.747376000895245e-05,9.8749201829615e-07,8.761574557439057e-06,1.4299687873772225e-05,1.3272073187625174e-05,1.437109291649323e-05,1.5333968103880448e-05,-3.801109316433256e-05,0.00020840390171807514,0.0002326513719245802,0.00020871003193787904,-6.74687227251061e-05,5.561368569089706e-06,2.7818373912276755e-05,9.432975326675598e-06,0.0002171134288684223,-2.73502244397339e-05,-4.53824176754363e-05,7.072596816472923e-06,0.00021160115640200073,-2.509958631680938e-05,-5.34186258243054e-05,0.0001072129789621543,-3.1890847831007726e-05,-3.743707134874866e-05,-3.067354772433659e-05,1.3505967211281583e-05,-2.9330139839667673e-05,-5.8540628736616974e-05,0.0002732173699053034,-5.3997417983106336e-05,0.00012123517862443869,-4.631859869052635e-05,0.00021680555126021554,-7.978061317936852e-06,0.00015963450116886533,3.219675746321564e-06,0.00012615495225547736,6.2697221157794195e-06,8.071478033820947e-05,5.1557554746498436e-06,-2.2362424452889035e-05,2.286569671998642e-05,8.567869721578524e-05,0.00020405142798299463
BBDC4.SA,-9.209216641717187e-06,0.00015338234267921574,-1.842711212267765e-05,-2.301699976096959e-05,8.300001340536892e-05,0.00024188419040581114,0.0004164033735478438,9.352103608554405e-05,2.6902772457528973e-05,-5.119859031889296e-06,5.551497628462976e-05,0.00017806026620689972,0.00022901683118918835,3.003353153783321e-05,-1.9396530501727903e-05,0.00010949077881999565,2.369507791726558e-05,3.905838651109855e-05,8.936895560153371e-05,0.00018707940627110082,-9.717667750475674e-06,3.550512927909029e-05,7.728470811294966e-06,8.231651865865805e-06,1.1637195037727575e-05,9.5302816858031e-06,8.756672189719255e-06,-3.3197090618346827e-06,0.0002491715577837087,0.00029667747458497377,0.0002053900612596551,-4.5212932183916246e-05,2.599352621367557e-05,3.2713919676538345e-05,8.032861177279477e-06,0.00024734200483755647,-4.7226623725716087e-05,-2.6302120246570943e-05,1.7594818148221488e-05,0.0002226481884048617,1.308874916266369e-05,-3.0123253934180435e-05,0.00010828402829479813,-2.9931434213263413e-05,-4.896328408664663e-06,-1.3562273495257056e-05,2.6213452604711015e-05,-2.4602424006140287e-05,-3.442777813364386e-05,0.0002104827590133275,-3.703453936079417e-05,0.00013119560066751529,-1.2345108613219451e-05,0.0002847459629772207,5.508581801673734e-06,0.00015690863793297786,2.0595868011625144e-05,0.00011750189596060729,3.9439734987052366e-05,0.00010152112393159865,8.852811792398554e-06,-9.073140789274577e-07,1.773232041597654e-05,7.896126489495037e-05,0.00021948890168456626
BBSE3.SA,-1.8690298268968774e-05,8.82369634317154e-05,-2.3234893451085706e-05,-2.9452076607677787e-05,1.598010245626688e-05,0.0001162030879177531,9.352103608554405e-05,0.00022151825637247086,1.9219648384797123e-05,-2.8207316779329506e-05,-5.890564118390102e-06,9.037606541939381e-05,0.00012389384577191109,1.0516277236167622e-05,-2.1278101052904402e-05,8.938118754630641e-05,7.146037908520391e-06,-1.155010706181127e-05,7.520814854723178e-05,0.00012646815021370763,-1.024476243889863e-05,-9.173701418050327e-06,-1.7463252775033166e-05,4.8574014969151155e-06,3.0003144388051446e-06,1.0849717158680132e-05,-3.7528811194358966e-06,-3.4628457377338864e-05,9.755782969431565e-05,0.00010504512158926396,0.00011202847258554773,-3.672762421456617e-05,-1.5524318011346083e-05,2.6394337703324995e-05,4.384012802904361e-06,0.00013662905588417772,-1.7425513932388654e-05,-1.6388132388210928e-05,3.826213386073356e-05,0.00011197460527765731,-6.092997336362758e-06,-2.2408086964107678e-05,6.513283596963711e-05,-3.181670738161484e-06,-9.971707623515502e-06,-7.525234999589775e-06,7.39698020456325e-06,-2.973720060788577e-05,-2.3778064551080872e-05,9.874579298026601e-05,-4.481303686470948e-05,7.596955815580696e-05,-2.9054032390325366e-05,0.00011080726549919926,4.44722767609512e-07,0.00012081276166408527,1.0300810709662186e-05,0.00010090257027411621,9.19517342321891e-06,3.890472110691943e-05,-1.8707073107238868e-07,-9.641920501113775e-06,1.5610409390796492e-05,9.060339193038161e-05,0.00013644052423478776
BCFF11.SA,9.745084885888971e-07,1.47868804921514e-05,1.8745637021168682e-06,-5.081181290001411e-06,1.586128226861625e-05,3.808781663204781e-05,2.6902772457528973e-05,1.9219648384797123e-05,0.00023311851054933852,1.696887652543757e-06,-8.930547449738678e-06,2.8918484438690592e-05,3.539020169665858e-05,1.7737106749709248e-05,-1.982130120789804e-06,1.5806668325258068e-05,-3.4790513648295384e-06,8.875192515310431e-06,1.8572138989552907e-05,4.9188974398339986e-05,-2.1784519553911856e-05,1.5615569082697845e-05,-2.3846850666330835e-05,1.5924201383468534e-05,1.4704032524336252e-05,1.610232742528895e-05,1.9539957268909473e-05,1.0194839943052956e-06,3.17221436640551e-05,3.154836691258189e-05,4.087893571535259e-05,-5.163659226519957e-07,-2.2228721148281375e-06,1.2073767083073238e-05,5.659170502548299e-06,2.5305561254483555e-05,1.8450980159371873e-05,-7.94505773906407e-06,-6.840515634163758e-06,3.713736786574164e-05,4.8246571417900564e-06,-1.2451928962780833e-05,2.457177200700668e-05,-1.4189129455176616e-06,2.7345823911524704e-06,-2.0499338697601332e-05,8.770846181855853e-06,-1.93832994163324e-06,-2.1976105948696754e-06,3.803824235463161e-05,-4.684105566324243e-06,3.9238839946184836e-05,-1.4259163965242056e-05,2.5734301300585472e-05,5.230629824258857e-06,2.4556685098722e-05,1.341054919631816e-05,3.313734193283665e-05,3.88003413670262e-06,9.838677307848036e-06,2.72623410081536e-05,4.415331686436852e-06,2.6374821220942494e-05,2.062004276749534e-05,2.710864638939371e-05
BERK34.SA,0.00012258991624902025,-1.638366712568668e-05,0.00012366442353844948,0.00010640297939908786,0.00010612667687653167,-3.573281699462844e-05,-5.119859031889296e-06,-2.8207316779329506e-05,1.696887652543757e-06,0.0002015977689881602,0.000165103914709028,-2.6459977715888375e-05,-6.91075251859362e-05,-1.001011173625602e-05,0.00011737016305607354,-6.0112700788315835e-05,-1.1116702858269165e-05,0.00014700129858894002,-3.575803709021605e-05,-6.0659895071404096e-05,0.00013229884513318206,0.00014733105520005685,-1.0918342181633888e-05,-3.515449650088178e-06,-2.920052859814367e-06,-7.845302336288722e-06,9.409597993718844e-06,0.0001407327199894772,-1.9462915135632012e-05,-4.5521387850552735e-06,-7.46295338441055e-05,0.00011733102967490661,0.0001690234632965635,1.6192650616625788e-05,3.968534358958495e-07,-7.67410326152609e-05,0.00012121153308727566,0.00011195865478488627,7.241671631260479e-05,-0.00010907951336838718,0.00015232931612873694,0.00012741116196342262,-3.6230155384189636e-05,0.0001133647161883341,0.0001436692681826007,0.00012555546488954395,-2.655037583696294e-05,0.00012748195914154907,9.6903884666338e-05,-3.235695379153563e-05,0.00011120577110831734,-7.11220798111409e-07,0.00013555045364108955,-2.3678947205080933e-06,0.00011906772936692053,-9.205240186751173e-05,3.6452072812446294e-05,-6.696673940306756e-05,8.963715052464e-05,2.3372190500480627e-05,-2.355498513889822e-06,0.00014141611239372362,-1.7059474727400195e-06,-3.67937138218849e-05,-7.326766307280084e-05
