ticker,company
ABEV3.SA,Ambev S.A.
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão"
BBAS3.SA,Banco do Brasil S.A.
BBDC3.SA,Banco Bradesco S.A.
BBDC4.SA,Banco Bradesco S.A.
BBSE3.SA,BB Seguridade Participações S.A.
BRAP4.SA,Bradespar S.A.
BRDT3.SA,Petrobras Distribuidora S.A.
BRFS3.SA,BRF S.A.
BRKM5.SA,Braskem S.A.
BRML3.SA,BR Malls Participações S.A.
BTOW3.SA,B2W Companhia Digital
CCRO3.SA,CCR S.A.
CIEL3.SA,Cielo S.A.
CMIG4.SA,Companhia Energética de Minas Gerais - Cemig
CSAN3.SA,Cosan S.A.
CSNA3.SA,Companhia Siderúrgica Nacional
CVCB3.SA,CVC Brasil Operadora e Agência de Viagens S.A.
CYRE3.SA,Cyrela Brazil Realty S.A. Empreendimentos e Participações
ECOR3.SA,EcoRodovias Infraestrutura e Logística S.A.
EGIE3.SA,Engie Brasil Energia S.A.
ELET3.SA,Centrais Elétricas Brasileiras S.A. - Eletrobras
ELET6.SA,Centrais Elétricas Brasileiras S.A. - Eletrobras
EMBR3.SA,Embraer S.A.
ENBR3.SA,EDP - Energias do Brasil S.A.
EQTL3.SA,Equatorial Energia S.A.
ESTC3.SA,Estácio Participações S.A.
FLRY3.SA,Fleury S.A.
GGBR4.SA,Gerdau S.A.
GOAU4.SA,Metalúrgica Gerdau S.A.
GOLL4.SA,Gol Linhas Aéreas Inteligentes S.A.
HYPE3.SA,Hypera S.A.
IGTA3.SA,Iguatemi Empresa de Shopping Centers S.A.
ITSA4.SA,Itaúsa S.A.
ITUB4.SA,Itaú Unibanco Holding S.A.
JBSS3.SA,JBS S.A.
KLBN11.SA,Klabin S.A.
KROT3.SA,Kroton Educacional S.A.
LAME4.SA,Lojas Americanas S.A.
LOGG3.SA,LOG Commercial Properties e Participações S.A.
LREN3.SA,Lojas Renner S.A.
MGLU3.SA,Magazine Luiza S.A.
MRFG3.SA,Marfrig Global Foods S.A.
MRVE3.SA,MRV Engenharia e Participações S.A.
MULT3.SA,Multiplan Empreendimentos Imobiliários S.A.
NATU3.SA,Natura Cosméticos S.A.
PCAR4.SA,Companhia Brasileira de Distribuição
PETR3.SA,Petróleo Brasileiro S.A. - Petrobras
PETR4.SA,Petróleo Brasileiro S.A. - Petrobras
QUAL3.SA,Qualicorp Consultoria e Corretora de Seguros S.A.
RADL3.SA,Raia Drogasil S.A.
RAIL3.SA,Rumo S.A.
RENT3.SA,Localiza Rent a Car S.A.
SANB11.SA,Banco Santander (Brasil) S.A.
SBSP3.SA,Companhia de Saneamento Básico do Estado de São Paulo - Sabesp
SMLS3.SA,Smiles Fidelidade S.A.
SUZB3.SA,Suzano S.A.
TAEE11.SA,Transmissora Aliança de Energia Elétrica S.A.
TIMP3.SA,TIM Participações S.A.
UGPA3.SA,Ultrapar Participações S.A.
USIM5.SA,Usinas Siderúrgicas de Minas Gerais S.A. - Usiminas
VALE3.SA,Vale S.A.
VIVT4.SA,Telefônica Brasil S.A.
VVAR3.SA,Via Varejo S.A.
WEGE3.SA,WEG S.A.
